PERMNO,PERMCO,HTICK,HTSYMBOL,CUSIP
10732,8236,,ALYXC,02261210
10733,8630,,ACPI,02523610
10734,8629,,SHLB,82170610
10735,22220,,,07699090
10736,22221,,,00514010
10737,8632,,MWAV,59517L10
10738,8634,,CHPS,17002110
10739,8636,,IDBX,44935510
10740,8638,,STPT,85557010
10741,9837,,CDYN,17117010
10742,8640,,CCMC,20312810
10743,20287,,,07749110
10744,22222,,,00514910
10745,8641,,BPAO,05824610
10746,8642,,CLGBC,17887220
10747,8643,,NCCIC,67061C10
10748,8644,,SSMAC,80879710
10749,8645,,KTCO,48853910
10750,8646,,,14343610
10751,22223,,,08168910
10752,58,,ADAC,00531320
10753,8647,,,35908110
10754,8648,,HFET,43709010
10755,8649,,MWBX,59266810
10756,8650,,PEST,76132210
10757,8653,,HERS,42723H10
10758,8652,,UMAP,90384730
10759,8655,,FNPC,33572510
10760,8654,,MBNK,59937310
10761,8656,,MAJ,59406010
10762,8658,,WNSB,95474410
10763,8659,,ANSY,02868910
10764,8660,,APCS,03791510
10765,8661,,,21257810
10766,8662,,MRNO,61790110
10767,8663,,INNS,50101110
10768,8664,,INMC,45753810
10769,8665,,CEBK,15241810
10770,8666,,DOCKS,16733910
10771,8667,,HBSI,40958210
10772,8668,,SED,78410920
10773,8669,,OUTR,69012810
10774,8670,,JSBK,47970910
10775,8671,,HEMA,42349810
10776,8672,,VACP,91855C10
10777,8674,FCNCA,FCNCA,31946M10
10778,22224,,,08699190
10779,65,BKTI,BKTI,05587G10
10780,8675,,PBKB,70979510
10781,8677,BKSC,BKSC,06506610
10782,8678,,FHVN,30486410
10783,8554,,HRIZ,44043710
10784,8679,,SHAW,82085810
10785,8681,,CAMD,13043910
10786,20299,,BS,08750910
10787,73,,ADSNB,00668020
10788,8682,,,90459510
10789,8680,,IFGN,45662510
10790,8683,,,82522910
10791,8685,,SGI,82705610
10792,8687,,CBWV,20051110
10793,8688,,NMBC,58843710
10794,22225,,,09999090
10795,7002,,ADTC,00668810
10796,8690,,POPX,73281710
10797,8691,,AMRI,03070010
10798,8692,,HUSB,43737710
10799,8693,,FFPC,34090210
10800,8694,,EACO,26791110
10801,8695,,,59163C20
10802,7997,,TCSTC,87926610
10803,8696,,,15590410
10804,7789,,ACCTC,14140E10
10805,8697,,OBCCC,68145510
10806,8698,,FSVP,31771830
10807,22226,,,10909710
10808,62,,ADDC,00669820
10809,8699,,BSBC,10540930
10810,8700,,ITSC,45638910
10811,8701,,CRITA,22673610
10812,8702,HTLD,HTLD,42234710
10813,8385,,MMST,58501810
